Athlete	CountryName	CountryCode	Gender	Sport	Medals	Appearances
rebecca soni	United States of America	USA	Female	Swimming	4	2
reggie walker	South Africa	SAF	Male	Athletics	1	1
reiko nakamura	Japan	JPN	Female	Swimming	2	2
reinaldo gorno	Argentina	ARG	Male	Athletics	1	1
reizo koike	Japan	JPN	Male	Swimming	2	2
renate breuer	West Germany	FRG	Female	Canoeing	1	1
renate stecher	German Democratic Republic	GDR	Female	Athletics	4	2
renate stecher, b?rbel struppert, christina heinich, evelyn kaufer	German Democratic Republic	GDR	Female	Athletics	1	1
ren? tirard, ren? lorain, ren? mourlon, emile ali-khan	France	FRA	Male	Athletics	1	1
reuben kosgei	Kenya	KEN	Male	Athletics	1	1
rex cawley	United States of America	USA	Male	Athletics	1	1
rhadi ben abdesselam	Morocco	MAR	Male	Athletics	1	1
ricardo prado	Brazil	BRA	Male	Swimming	1	1
rica reinisch	German Democratic Republic	GDR	Female	Swimming	2	1
richard beesly, edward bevan, john lander, michael warriner	Great Britain	GBR	Male	Rowing	1	1
richard burnell, bert bushnell	Great Britain	GBR	Male	Rowing	1	1
richard chambers, robert williams, chris bartley, peter chambers	Great Britain	GBR	Male	Rowing	1	1
richard chelimo	Kenya	KEN	Male	Athletics	1	1
richard colella	United States of America	USA	Male	Swimming	1	1
richard corts, georg lammers, helmuth k?rnig, hubert houben	Germany	GER	Male	Athletics	1	1
richard howard	United States of America	USA	Male	Athletics	1	1
richard kipkemboi	Kenya	KEN	Male	Athletics	1	1
richard novy, jan mrv?k, miroslav kon?cek, jir? lund?k, bohumil janousek, ludek pojezny, julius tocek, petr cerm?k, josef ventus	Czech Republic	CZE	Male	Rowing	1	1
richard roth	United States of America	USA	Male	Swimming	1	1
richard thompson	Trinidad and Tobago	TRI	Male	Athletics	1	1
richard thompson, aaron armstrong, marc burns, emmanuel callender, keston bledman	Trinidad and Tobago	TRI	Male	Athletics	1	1
richard weinberger	Canada	CAN	Male	Swimming	1	1
richard wohlhuter	United States of America	USA	Male	Athletics	1	1
rick carey	United States of America	USA	Male	Swimming	2	1
rick carey, ambrose gaines, steve lundquist, pablo morales	United States of America	USA	Male	Swimming	1	1
rick mitchell	Australia	AUS	Male	Athletics	1	1
rie mastenbroek	Netherlands	NED	Female	Swimming	3	1
rita k?b?n	Hungary	HUN	Female	Canoeing	2	2
rita k?b?n, erika m?sz?ros, ?va d?nusz, kinga czig?ny	Hungary	HUN	Female	Canoeing	1	1
rita k?b?n, erika m?sz?ros, ?va rakusz, erika g?czi	Hungary	HUN	Female	Canoeing	1	1
rita k?hne, helga seidler, dagmar k?sling, monika zehrt	German Democratic Republic	GDR	Female	Athletics	1	1
rita wilden	West Germany	FRG	Female	Athletics	1	1
roberta brunet	Italy	ITA	Female	Athletics	1	1
robertas zulpa	Soviet Union	URS	Male	Swimming	1	1
robert baetens, michel knuysen	Belgium	BEL	Male	Rowing	1	1
robert bennett	United States of America	USA	Male	Swimming	2	2
robert boutigny	France	FRA	Male	Canoeing	1	1
robert chef d'h?tel, jean kerebel, jacques lunis, fran?ois schewetta	France	FRA	Male	Athletics	1	1
robert cloughen	United States of America	USA	Male	Athletics	1	1
robert cowell	United States of America	USA	Male	Swimming	1	1
robert cusack, yury gromak, gregory rogers, michael wenden, robert windle	Australia	AUS	Male	Swimming	1	1
robert hackett	United States of America	USA	Male	Swimming	1	1
robert kerr	Canada	CAN	Male	Athletics	2	1
robert kiesel, hector dyer, emmett toppino, frank wykoff	United States of America	USA	Male	Athletics	1	1
robert korzeniowski	Poland	POL	Male	Athletics	4	3
robert mcgregor	Great Britain	GBR	Male	Swimming	1	1
robert mcmillen	United States of America	USA	Male	Athletics	1	1
robert mills	Canada	CAN	Male	Rowing	1	1
robert nisbet, terence o'brien	Great Britain	GBR	Male	Rowing	1	1
roberto tozzi, pietro mennea, stefano malinverni, mauro zuliani	Italy	ITA	Male	Athletics	1	1
robert perew, stuart griffing, frederick kingsbury, gregory gates	United States of America	USA	Male	Rowing	1	1
robert richards, anthony edwards, simon burgess, darren balmforth	Australia	AUS	Male	Rowing	1	1
robert scott, david weightman	Australia	AUS	Male	Rowing	1	1
robert skelton	United States of America	USA	Male	Swimming	1	1
robert sycz, tomasz kucharski	Poland	POL	Male	Rowing	2	2
robert taylor	United States of America	USA	Male	Athletics	1	1
robert wilson, philip kueber, david helliwell, william mckerlich, richard mcclure, douglas mcdonald, lawrence west, carlton ogawa, donald pretty	Canada	CAN	Male	Rowing	1	1
robert windle	Australia	AUS	Male	Swimming	1	1
robert windle, john ryan, peter doak, david dickson	Australia	AUS	Male	Swimming	1	1
robert woodhouse	Australia	AUS	Male	Swimming	1	1
robert young, harold cagle, al fitch, edward o'brien	United States of America	USA	Male	Athletics	1	1
robin backhouse	United States of America	USA	Male	Swimming	1	1
robson da silva	Brazil	BRA	Male	Athletics	1	1
rob waddell	New Zealand	NZL	Male	Rowing	1	1
robyn thorn, dawn fraser, lynette bell, janice murphy	Australia	AUS	Female	Swimming	1	1
rochelle stevens, jearl miles, maicel malone, kim graham	United States of America	USA	Female	Athletics	1	1
rodica arba, olga homeghi	Romania	ROM	Female	Rowing	1	1
rodney dixon	New Zealand	NZL	Male	Athletics	1	1
rodney milburn	United States of America	USA	Male	Athletics	1	1
rodolfo falcon	Cuba	CUB	Male	Swimming	1	1
rod strachan	United States of America	USA	Male	Swimming	1	1
roelof luynenburg, ruud stokvis	Netherlands	NED	Male	Rowing	1	1
roger black	Great Britain	GBR	Male	Athletics	1	1
roger kingdom	United States of America	USA	Male	Athletics	2	2
roger moens	Belgium	BEL	Male	Athletics	1	1
roger pyttel	German Democratic Republic	GDR	Male	Swimming	2	1
roland kokeny, rudolf dombi	Hungary	HUN	Male	Canoeing	1	1
roland matthes	German Democratic Republic	GDR	Male	Swimming	5	3
roland matthes, lutz unger, klaus katzur, hartmut fl?ckner	German Democratic Republic	GDR	Male	Swimming	1	1
roland schoeman	South Africa	RSA	Male	Swimming	2	1
roland wieser	German Democratic Republic	GDR	Male	Athletics	1	1
rolf larcher, ernst h?rlimann	Switzerland	SUI	Male	Rowing	1	1
rolf peterson	Sweden	SWE	Male	Canoeing	2	2
roline repelaer van driel, sarah siegelaar, marlies smulders, helen tanger, annemarieke van rumpt, annemiek de haan, femke dekker, nienke kingma	Netherlands	NED	Female	Rowing	1	1
roman sloudnov	Russia	RUS	Male	Swimming	1	1
romeo bertini	Italy	KIT	Male	Athletics	1	1
romolo catasta	Italy	ITA	Male	Rowing	1	1
ronald mills	United States of America	USA	Male	Swimming	1	1
ronald rauhe, tim wiesk?tter	Germany	GER	Male	Canoeing	2	2
ronald weigel	German Democratic Republic	GDR	Male	Athletics	2	2
ronald weigel	Germany	GER	Male	Athletics	1	2
ron clarke	Australia	AUS	Male	Athletics	1	1
ron delany	Ireland	IRL	Male	Athletics	1	1
ron freeman	United States of America	USA	Male	Athletics	1	1
ronnie-ray smith, melvin pender, jim hines, charlie greene	United States of America	USA	Male	Athletics	1	1
rosa mota	Portugal	POR	Female	Athletics	2	2
roscoe lockwood, edward marsh, john geiger, john exley, james juvenal, edward hedley, louis abell, william carr, harry debaecke	United States of America	USA	Male	Rowing	1	1
rosemarie gabriel	German Democratic Republic	GDR	Female	Swimming	1	1
rosemarie whyte, shericka williams, novlene williams-mills, christine day	Jamaica	JAM	Female	Athletics	1	1
rossano galtarossa, luca agamennoni, simone venier, simone raineri	Italy	ITA	Male	Rowing	1	1
ross wales	United States of America	USA	Male	Swimming	1	1
roswitha beier	German Democratic Republic	GDR	Female	Swimming	1	1
roswitha beier, kornelia ender, christine herbst, renate vogel	German Democratic Republic	GDR	Female	Swimming	1	1
roswitha esser, annemarie zimmermann	Germany	GER	Female	Canoeing	1	2
roswitha esser, annemarie zimmermann	West Germany	FRG	Female	Canoeing	1	2
roxana maracineanu	France	FRA	Female	Swimming	1	1
roy cochran	United States of America	USA	Male	Athletics	1	1
roy saari	United States of America	USA	Male	Swimming	1	1
?rp?d lengyel, ?d?n gr?f, ferenc csik, oszk?r abay nemes	Hungary	HUN	Male	Swimming	1	1
rudi harbig, helmut hamann, harry voigt, friedrich von st?lpnagel	Germany	GER	Male	Athletics	1	1
rudolf reichelt, kurt runge, hans matthiae, max vetter, otto liebing, max br?ske, fritz bartholom?, willi bartholom?, werner dehn	Germany	DEU	Male	Rowing	1	1
ruggero maregatti, giuseppe castelli, edgardo toetti, gabriele salviati	Italy	KIT	Male	Athletics	1	1
rui silva	Portugal	POR	Male	Athletics	1	1
rumyana neykova	Bulgaria	BUL	Female	Rowing	3	3
rune larsson	Sweden	SWE	Male	Athletics	1	1
rupert weinstabl, karl proisl	Austria	AUT	Male	Canoeing	1	1
rusty wailes, robert morey, charles grimes, william becklean, donald beer, caldwell esselstyn, thomas charlton, john cooke, david wight	United States of America	USA	Male	Rowing	1	1
ruta meilutyte	Lithuania	LTU	Female	Swimming	1	1
ryan cochrane	Canada	CAN	Male	Swimming	2	2
ryan lochte	United States of America	USA	Male	Swimming	7	3
ryan lochte, michael phelps, nathan adrian, cullen jones	United States of America	USA	Male	Swimming	1	1
ryan lochte, michael phelps, ricky berens, conor dwyer	United States of America	USA	Male	Swimming	1	1
ryan mitchell, adam pine, ian thorpe, michael klim, regan harrison, geoff huegill, josh watson, matthew welsh	Australia	AUS	Male	Swimming	1	1
ryosuke irie	Japan	JPN	Male	Swimming	2	1
ryo tateishi	Japan	JPN	Male	Swimming	1	1
sabine steinbach	German Democratic Republic	GDR	Female	Swimming	1	1
sa?d aouita	Morocco	MAR	Male	Athletics	2	2
sadik mujkic, bojan preseren	Yugoslavia	YUG	Male	Rowing	1	1
salah hissou	Morocco	MAR	Male	Athletics	1	1
sally gunnell	Great Britain	GBR	Female	Athletics	1	1
sally jepkosgei kipyego	Kenya	KEN	Female	Athletics	1	1
sally mclellan	Australia	AUS	Female	Athletics	1	1
sally pearson	Australia	AUS	Female	Athletics	1	1
salvatore antibo	Italy	ITA	Male	Athletics	1	1
salvatore morale	Italy	ITA	Male	Athletics	1	1
samantha riley	Australia	AUS	Female	Swimming	2	2
sam graddy	United States of America	USA	Male	Athletics	1	1
sam graddy, ron brown, carl lewis, calvin smith	United States of America	USA	Male	Athletics	1	1
samson kitur	Kenya	KEN	Male	Athletics	1	1
samuel barathay, frederic kowal	France	FRA	Male	Rowing	1	1
samuel ferris	Great Britain	GBR	Male	Athletics	1	1
samuel kahanamoku	United States of America	USA	Male	Swimming	1	1
samuel matete	Zambia	ZAM	Male	Athletics	1	1
samuel wansiru	Kenya	KEN	Male	Athletics	1	1
sandie richards, michelle burgher, nadia davy, novlene williams	Jamaica	JAM	Female	Athletics	1	1
sandra farmer-patrick	United States of America	USA	Female	Athletics	1	1
sandra morgan, faith leech, dawn fraser, lorraine crapp	Australia	AUS	Female	Swimming	1	1
sandra neilson	United States of America	USA	Female	Swimming	1	1
sandra neilson, melissa belote, deena deardurff, catherine carr	United States of America	USA	Female	Swimming	1	1
sandra v?lker	Germany	GER	Female	Swimming	2	1
sandro bellucci	Italy	ITA	Male	Athletics	1	1
sanna sten, minna nieminen	Finland	FIN	Female	Rowing	1	1
sanya richards	United States of America	USA	Female	Athletics	1	1
sanya richards, monique henderson, monique hennagan, deedee trotter	United States of America	USA	Female	Athletics	1	1
sanya richards, monique henderson, natasha hastings, allyson felix, mary wineberg	United States of America	USA	Female	Athletics	1	1
sanya richards-ross	United States of America	USA	Female	Athletics	1	1
sarah hardcastle	Great Britain	GBR	Female	Swimming	2	1
sarah outhwaite, kate hornsey	Australia	AUS	Female	Rowing	1	1
sarah p?we, antje buschschulte, franziska van almsick	Germany	GER	Female	Swimming	1	1
sarah winckless, elise laverick	Great Britain	GBR	Female	Rowing	1	1
sara isakovic	Slovenia	SLO	Female	Swimming	1	1
sara nordenstam	Norway	NOR	Female	Swimming	1	1
saso mirjanic, sadik mujkic, milan jansa, janez klemencic	Slovenia	SLO	Male	Rowing	1	1
satoko tanaka	Japan	JPN	Female	Swimming	1	1
satomi suzuki	Japan	JPN	Female	Swimming	2	1
satymkul dzhumanazarov	Soviet Union	URS	Male	Athletics	1	1
saul craviotto rivero	Spain	ESP	Male	Canoeing	1	1
schuyler enck	United States of America	USA	Male	Athletics	1	1
scott frandsen, david calder	Canada	CAN	Male	Rowing	1	1
scott gault, charles cole, glenn ochal, henrik rummel	United States of America	USA	Male	Rowing	1	1
scott goldblatt, nate dusing, chad carvin, josh davis, klete keller, jamie rauch	United States of America	USA	Male	Swimming	1	1
scott goodman	Australia	AUS	Male	Swimming	1	1
scott miller	Australia	AUS	Male	Swimming	1	1
sebastian brendel	Germany	GER	Male	Canoeing	1	1
sebastian coe	Great Britain	GBR	Male	Athletics	4	2
sebastien vieilledent, adrien hardy	France	FRA	Male	Rowing	1	1
seleshi sehen	Ethiopia	ETH	Male	Athletics	1	1
semyon belitz-geyman, vladimir bure, georgi kulikov, leonid ilyichov	Soviet Union	URS	Male	Swimming	1	1
semyon rzhishchin	Soviet Union	URS	Male	Athletics	1	1
sergeij fedorovtsev, igor kravtsov, nikolai spinev, alexeij svirin	Russia	RUS	Male	Rowing	1	1
sergey chukhray, aleksandr degtyarev, yury filatov, vladimir morozov	Soviet Union	URS	Male	Canoeing	1	1
sergey chukhray, vladimir parfenovich	Soviet Union	URS	Male	Canoeing	1	1
sergey fesenko	Soviet Union	URS	Male	Swimming	2	1
sergey kirdyapkin	Russia	RUS	Male	Athletics	1	1
sergey koplyakov	Soviet Union	URS	Male	Swimming	1	1
sergey nagorny, vladimir romanovsky	Soviet Union	URS	Male	Canoeing	2	1
sergey petrenko, aleksandr vinogradov	Soviet Union	URS	Male	Canoeing	1	1
sergey postrekhin	Soviet Union	URS	Male	Canoeing	2	1
sergey ulegin, alexander kostoglod	Russia	RUS	Male	Canoeing	1	1
serghei covaliov, ivan patzaichin	Romania	ROM	Male	Canoeing	1	1
sergij grin, sergij bilushchenko, oleg lykov, leonid shaposhnikov	Ukraine	UKR	Male	Rowing	1	1
sergio l?pez	Spain	ESP	Male	Swimming	1	1
sevatheda fynes, debbie ferguson, pauline davis-thompson, chandra sturrup	Bahamas	BAH	Female	Athletics	1	1
seymour cromwell, james storm	United States of America	USA	Male	Rowing	1	1
shalane flanagan	United States of America	USA	Female	Athletics	1	1
shane gould	Australia	AUS	Female	Swimming	5	1
shannon smith	Canada	CAN	Female	Swimming	1	1
sharon finneran	United States of America	USA	Female	Swimming	1	1
sharon stouder	United States of America	USA	Female	Swimming	2	1
sharon stouder, cynthia goyette, kathleen ellis, cathy ferguson	United States of America	USA	Female	Swimming	1	1
sharon wichman	United States of America	USA	Female	Swimming	2	1
sharron davies	Great Britain	GBR	Female	Swimming	1	1
shawn crawford	United States of America	USA	Male	Athletics	2	2
shawn crawford, justin gatlin, maurice greene, coby miller	United States of America	USA	Male	Athletics	1	1
sheena tosta	United States of America	USA	Female	Athletics	1	1
sheila echols, florence griffith-joyner, alice brown, evelyn ashford	United States of America	USA	Female	Athletics	1	1
shelley mann	United States of America	USA	Female	Swimming	1	1
shelley mann, nancy simons, sylvia ruuska, joan rosazza	United States of America	USA	Female	Swimming	1	1
shelly-ann fraser	Jamaica	JAM	Female	Athletics	1	1
shelly-ann fraser-pryce	Jamaica	JAM	Female	Athletics	2	1
shenjie qieyang	China	CHN	Female	Athletics	1	1
shereefa lloyd, shericka williams, novlene williams, rosemarie whyte, bobby-gaye wilkins	Jamaica	JAM	Female	Athletics	1	1
shericka williams	Jamaica	JAM	Female	Athletics	1	1
sherone simpson	Jamaica	JAM	Female	Athletics	1	1
sherri howard, valerie brisco-hooks, chandra cheeseborough	United States of America	USA	Female	Athletics	1	1
shigeo arai	Japan	JPN	Male	Swimming	1	1
shigeo arai, shigeo sugiura, masahari taguchi, masonori yusa	Japan	JPN	Male	Swimming	1	1
shirley babashoff	United States of America	USA	Female	Swimming	5	2
shirley babashoff, jane barkman, jennifer kemp, sandra neilson	United States of America	USA	Female	Swimming	1	1
shirley strickland	Australia	AUS	Female	Athletics	3	2
shirley strickland, fleur mellor, betty cuthbert, norma croker	Australia	AUS	Female	Athletics	1	1
shirley strong	Great Britain	GBR	Female	Athletics	1	1
shiro hashizume	Japan	JPN	Male	Swimming	1	1
shiwen ye	China	CHN	Female	Swimming	2	1
shouying zhou, xiuhua zhou, xianghua zhang, yali zhang, xiao yang, yadong hu, yaqin han, yanwen he, ronghua li	China	CHN	Female	Rowing	1	1
shozo makino	Japan	JPN	Male	Swimming	2	2
shumpei uto	Japan	JPN	Male	Swimming	2	1
sidney atkinson	South Africa	SAF	Male	Athletics	2	2
sidney swann, philip fleming, henry wells, leslie wormwald, stanley garton, angus gillan, ewart horsfall, alister kirby, edgar burgess	Great Britain	GBR	Male	Rowing	1	1
sigrun wodars	German Democratic Republic	GDR	Female	Athletics	1	1
sileshi sihine	Ethiopia	ETH	Male	Athletics	1	1
silke h?rner	German Democratic Republic	GDR	Female	Swimming	2	1
silken laumann	Canada	CAN	Female	Rowing	2	2
silvia chiv?s	Cuba	CUB	Female	Athletics	1	1
silvia chiv?s, marlene elejarde, carmen vald?s, fulgencia romay	Cuba	CUB	Female	Athletics	1	1
silvia poll	Costa Rica	CRC	Female	Swimming	1	1
silvio leonard	Cuba	CUB	Male	Athletics	1	1
simone osygus, bettina ustrowski, daniela brendel, jana d?rries, dagmar hase, daniela hunger, franziska van almsick	Germany	GER	Female	Swimming	1	1
simone osygus, manuela stellmach, kerstin kielga?, annette hadding, daniela hunger, franziska van almsick	Germany	GER	Female	Swimming	1	1
simone raineri, alessio sartori, agostino abbagnale, rossano galtarossa	Italy	ITA	Male	Rowing	1	1
sippy woodhead	United States of America	USA	Female	Swimming	1	1
slavomir knazovicky	Slovakia	SVK	Male	Canoeing	1	1
s?ndor rozsny?l	Hungary	HUN	Male	Athletics	1	1
s?ndor wlad?r	Hungary	HUN	Male	Swimming	1	1
sofia assefa	Ethiopia	ETH	Female	Athletics	1	1
solenne figues	France	FRA	Female	Swimming	1	1
sonia o'sullivan	Ireland	IRL	Female	Athletics	1	1
spiridon louis	Greece	GRE	Male	Athletics	1	1
staciana stitts, courtney shealy, ashley tappin, dara torres, megan quann, bj bedford, jenny thompson, amy van dyken	United States of America	USA	Female	Swimming	1	1
stanislava komarova	Russia	RUS	Female	Swimming	1	1
stanislawa walasiewicz	Poland	POL	Female	Athletics	2	2
stanley vickers	Great Britain	GBR	Male	Athletics	1	1
stan rowley	Australia	AUS	Male	Athletics	2	1
stefani werremeier, ingeborg schwerzmann	Germany	GER	Female	Rowing	1	1
stefan kaplaniak, wladyslaw zielinski	Poland	POL	Male	Canoeing	1	1
stefano baldini	Italy	ITA	Male	Athletics	1	1
stefano battistelli	Italy	ITA	Male	Swimming	2	2
stefan pfeiffer	West Germany	FRG	Male	Swimming	2	2
stefan semmler, j?rgen thiele, siegfried brietzke, andreas decker	German Democratic Republic	GDR	Male	Rowing	1	1
stefan semmler, wolfgang mager, siegfried brietzke, andreas decker	German Democratic Republic	GDR	Male	Rowing	1	1
steffen bogs, heiko habermann, jens k?ppen, steffen z?hlke	German Democratic Republic	GDR	Male	Rowing	1	1
steffen zesner, christian tr?ger, oliver lampe, christian keller, aimo heilmann, konstantin dubrovin	Germany	GER	Male	Swimming	1	1
stefka mihaylova madina, violeta nikolaeva ninova	Bulgaria	BUL	Female	Rowing	1	1
sten pettersson	Sweden	SWE	Male	Athletics	1	1
stepan oshchepkov, andrey khimich	Soviet Union	URS	Male	Canoeing	1	1
stephan caron	France	FRA	Male	Swimming	2	2
stephan freigang	Germany	GER	Male	Athletics	1	1
stephanie graf	Austria	AUT	Female	Athletics	1	1
stephanie rice	Australia	AUS	Female	Swimming	2	1
stephan moelvig, thor kristensen, eskild ebbesen, thomas ebert	Denmark	DEN	Male	Rowing	1	1
stephan volkert, andr? willms, andreas hajek, marco geisler	Germany	GER	Male	Rowing	1	1
stephen anderson	United States of America	USA	Male	Athletics	1	1
stephen holland	Australia	AUS	Male	Swimming	1	1
stephen kipkorir	Kenya	KEN	Male	Athletics	1	1
stephen kiprotich	Uganda	UGA	Male	Athletics	1	1
stephen parry	Great Britain	GBR	Male	Swimming	1	1
steve clark, don schollander, roy saari, gary ilman	United States of America	USA	Male	Swimming	1	1
steve cram	Great Britain	GBR	Male	Athletics	1	1
steve giles	Canada	CAN	Male	Canoeing	1	1
steve lewis	United States of America	USA	Male	Athletics	2	2
steve lewis, kevin robinzine, butch reynolds, danny everett	United States of America	USA	Male	Athletics	1	1
steve lundquist	United States of America	USA	Male	Swimming	1	1
steve lysack, stephan macknowski	United States of America	USA	Male	Canoeing	1	1
steven blaisse, ernst veenemans	Netherlands	NED	Male	Rowing	1	1
steven coppola, micah boyd, wyatt allen, josh inman, beau hoopman, bryan volpenhein, daniel walsh, matt schnobrich	United States of America	USA	Male	Rowing	1	1
steven furniss	United States of America	USA	Male	Swimming	1	1
steven genter	United States of America	USA	Male	Swimming	2	1
steven gregg	United States of America	USA	Male	Swimming	1	1
steven redgrave, matthew pinsent	Great Britain	GBR	Male	Rowing	1	1
steven redgrave, matthew pinsent, timothy foster, james cracknell	Great Britain	GBR	Male	Rowing	1	1
steve ovett	Great Britain	GBR	Male	Athletics	2	1
stev theloke	Germany	GER	Male	Swimming	1	1
st. george ashe	Great Britain	GBR	Male	Rowing	1	1
stuart mackenzie	Australia	AUS	Male	Rowing	1	1
suleiman nyambui	Tanzania	TAN	Male	Athletics	1	1
summer sanders	United States of America	USA	Female	Swimming	3	1
sung-yong nam	Japan	JPN	Male	Athletics	1	1
susan atwood	United States of America	USA	Female	Swimming	2	1
susan francia, anna goodale, erin cafaro, anna cummins, caryn davies, lindsay shoop, carl lind, elle logan	United States of America	USA	Female	Rowing	1	1
susanne gunnarsson-wiberg, agneta andersson	Sweden	SWE	Female	Canoeing	1	1
susanne nielsson	Denmark	DEN	Female	Swimming	1	1
susan o'neill	Australia	AUS	Female	Swimming	4	3
susan pedersen	United States of America	USA	Female	Swimming	2	1
susan pedersen, jan henne, linda gustavson, jane barkman	United States of America	USA	Female	Swimming	1	1
susan rapp	United States of America	USA	Female	Swimming	1	1
susan shields	United States of America	USA	Female	Swimming	1	1
susanthika jayasinghe	Sri Lanka	SRI	Female	Athletics	1	1
suzanne landells	Australia	AUS	Female	Swimming	1	1
sven malm, agne holmstr?m, william petersson, nils sandstr?m	Sweden	SWE	Male	Athletics	1	1
svetlana babalina	Soviet Union	URS	Female	Swimming	1	1
svetlana masterkova	Russia	RUS	Female	Athletics	2	1
svetlana varganova	Soviet Union	URS	Female	Swimming	1	1
sybil bauer	United States of America	USA	Female	Swimming	1	1
sybille sch?nrock	German Democratic Republic	GDR	Female	Swimming	1	1
sylviane felix, muriel hurtis, christine arron, veronique mang	France	FRA	Female	Athletics	1	1
sylvia ruuska	United States of America	USA	Female	Swimming	1	1
sylvi saimo	Finland	FIN	Female	Canoeing	1	1
szilvia szabo, erzsebet viski, rita k?b?n, katalin kovacs	Hungary	HUN	Female	Canoeing	1	1
szilvia szabo, katalin kovacs	Hungary	HUN	Female	Canoeing	1	1
taehwan park	South Korea	KOR	Male	Swimming	2	1
takashi ishimoto	Japan	JPN	Male	Swimming	1	1
takashi yamamoto	Japan	JPN	Male	Swimming	1	1
takashi yokoyama, masonori yusa, hisakichi toyoda, yasuji miyazaki	Japan	JPN	Male	Swimming	1	1
takeshi matsuda	Japan	JPN	Male	Swimming	2	2
tamas kiss, gyorgy kozmann	Hungary	HUN	Male	Canoeing	1	1
tam?s buday, oszk?r frey	Hungary	HUN	Male	Canoeing	1	1
tam?s darnyi	Hungary	HUN	Male	Swimming	4	2
tam?s wichmann	Hungary	HUN	Male	Canoeing	2	2
tania dangalakova	Bulgaria	BUL	Female	Swimming	1	1
tanya lawrence	Jamaica	JAM	Female	Athletics	1	1
taoufik makhloufi	Algeria	ALG	Male	Athletics	1	1
tapio kantanen	Finland	FIN	Male	Athletics	1	1
tariku bekele	Ethiopia	ETH	Male	Athletics	1	1
tarnee white, dyana calub, leisel jones, susan o'neill, petria thomas, giaan rooney, sarah ryan	Australia	AUS	Female	Swimming	1	1
tarnee white, emily seebohm, lisbeth trickett, shayne reese, jessicah schipper, felicity galvez, leisel jones	Australia	AUS	Female	Swimming	1	1
tasha danvers	Great Britain	GBR	Female	Athletics	1	1
tatsugo kawaishi	Japan	JPN	Male	Swimming	1	1
tatsuo fujimoto, makoto fukui, hiroshi ishii, tsuyoshi yamanaka	Japan	JPN	Male	Swimming	1	1
tatyana anisimova	Soviet Union	URS	Female	Athletics	1	1
tatyana kazankina	Soviet Union	URS	Female	Athletics	3	2
tatyana korshunova	Soviet Union	URS	Female	Canoeing	1	1
tatyana ledovskaya	Soviet Union	URS	Female	Athletics	1	1
tatyana petrova arkhipova	Russia	RUS	Female	Athletics	1	1
tatyana prorochenko, lyudmila maslakova, nadezhda besfamilnaya, vera anisimova	Soviet Union	URS	Female	Athletics	1	1
tatyana providokhina	Soviet Union	URS	Female	Athletics	1	1
tatyana tomashova	Russia	RUS	Female	Athletics	1	1
tatyana veshkurova, tatiana firova, yulia gushchina, anastasia kapachinskaya, lyudmila litvinova, elena migunova	Russia	RUS	Female	Athletics	1	1
tebbs lloyd-johnson	Great Britain	GBR	Male	Athletics	1	1
tecla marinescu-borcanca, maria stefan-mihoreanu, nastasia ionescu, agafia constantin-buhaev	Romania	ROM	Female	Canoeing	1	1
teddy flack	Australia	AUS	Male	Athletics	2	1
ted meredith	United States of America	USA	Male	Athletics	1	1
ted murphy, sebastian bea	United States of America	USA	Male	Rowing	1	1
teijiro tanikawa, hiroshi suzuki, toru goto, yoshihiro hamaguchi	Japan	JPN	Male	Swimming	1	1
teodor kocerka	Poland	POL	Male	Rowing	2	2
teofilo yldefonzo	Philippines	PHI	Male	Swimming	2	2
terence parkin	South Africa	RSA	Male	Swimming	1	1
terrence trammell	United States of America	USA	Male	Athletics	2	2
terri stickles	United States of America	USA	Female	Swimming	1	1
tesfaye tola	Ethiopia	ETH	Male	Athletics	1	1
tetiana tereshchuk-antipova	Ukraine	UKR	Female	Athletics	1	1
tetsuo hamuro	Japan	JPN	Male	Swimming	1	1
tetsuo okamoto	Brazil	BRA	Male	Swimming	1	1
tetyana samolenko	Soviet Union	URS	Female	Athletics	1	1
tetyana semykina, inna osypenko, hanna balabanova, olena cherevatova	Ukraine	UKR	Female	Canoeing	1	1
teun beijnen, wilhelm r?singh	Netherlands	NED	Male	Rowing	1	1
thaddeus shideler	United States of America	USA	Male	Athletics	1	1
thane baker	United States of America	USA	Male	Athletics	3	2
theodore collet	Great Britain	GBR	Male	Rowing	1	1
theodore mittet, richard lyon, geoffrey picard	United States of America	USA	Male	Rowing	1	1
theresa andrews	United States of America	USA	Female	Swimming	1	1
therese alshammar	Sweden	SWE	Female	Swimming	2	1
therese zenz	Germany	GER	Female	Canoeing	2	2
therese zenz, ingrid hartmann	Germany	GER	Female	Canoeing	1	1
theresia kiesl	Austria	AUT	Female	Athletics	1	1
thiago pereira	Brazil	BRA	Male	Swimming	1	1
thomas battersby	Great Britain	GBR	Male	Swimming	1	1
thomas bohrer, william burden, jeffrey mclaughlin, patrick manning	United States of America	USA	Male	Rowing	1	1
thomas evenson	Great Britain	GBR	Male	Athletics	1	1
thomas fahrner	West Germany	FRG	Male	Swimming	1	1
thomas fahrner, michael gro?, dirk korthals, alexander schowtka	West Germany	FRG	Male	Swimming	1	1
thomas fahrner, michael gro?, erik hochstein, rainer henkel	West Germany	FRG	Male	Swimming	1	1
thomas farrell	United States of America	USA	Male	Athletics	1	1
thomas greiner, ralf brudel, olaf f?rster, roland schr?der	German Democratic Republic	GDR	Male	Rowing	1	1
thomas hall	Canada	CAN	Male	Canoeing	1	1
